City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Solnechnyy,RU,50.7214,136.6319,-0.44,65,16,4.83,few clouds
220,Ancud,CL,-41.8697,-73.8203,55.63,92,100,11.72,overcast clouds
221,Tres Arroyos,AR,-38.3739,-60.2798,56.07,82,15,7.63,few clouds
222,Vanderhoof,CA,54.0166,-124.0198,-0.2,98,12,2.1,few clouds
223,Sinnamary,GF,5.3833,-52.95,76.15,87,100,3.78,overcast clouds
224,Chahuites,MX,16.2833,-94.1833,77.13,67,1,7.67,clear sky
225,Pervomayskoye,RU,43.919,46.7102,31.12,72,21,13.22,few clouds
226,Kirakira,SB,-10.4544,161.9205,82.78,79,100,9.44,overcast clouds
227,Lasa,IT,46.6166,10.7002,41.88,98,98,3.87,overcast clouds
228,Perivolia,GR,35.4833,23.9833,57.34,94,40,3.44,scattered clouds
229,Tanete,ID,-3.9443,119.7848,86.16,69,72,1.41,broken clouds
230,Kavaratti,IN,10.5669,72.642,82.72,69,100,8.05,overcast clouds
231,Mayumba,GA,-3.432,10.6554,76.21,89,95,6.76,overcast clouds
232,Luwuk,ID,-0.9516,122.7875,84.33,74,100,1.97,overcast clouds
233,Swan Hill,AU,-35.3378,143.5544,76.21,32,9,16.4,clear sky
234,Codrington,AU,-38.2667,141.9667,57.38,68,100,18.43,overcast clouds
235,Ibaiti,BR,-23.8486,-50.1878,64.04,99,100,2.37,overcast clouds
236,Morros,BR,-9.4467,-46.3003,74.35,73,100,3.58,overcast clouds
237,Gat,IL,31.61,34.7642,60.4,71,3,3.15,clear sky
238,Nikolskoye,RU,59.7035,30.7861,24.69,94,100,7.56,light snow
239,Coahuayana,MX,18.7333,-103.6833,76.91,87,0,1.39,clear sky
240,Mahebourg,MU,-20.4081,57.7,76.24,78,40,8.05,scattered clouds
241,Praya,CV,14.9215,-23.5087,68.54,73,20,5.75,few clouds
242,Pisco,PE,-13.7,-76.2167,67.01,82,0,12.66,clear sky
243,Riyadh,SA,24.6877,46.7219,62.74,39,64,9.17,broken clouds
244,Cherskiy,RU,68.75,161.3,-27.11,95,5,4.74,clear sky
245,Mujiayingzi,CN,42.1167,118.7833,15.13,35,0,9.28,clear sky
246,Nyagan,RU,62.1406,65.3936,5.74,99,100,1.63,overcast clouds
247,Rocha,UY,-34.4833,-54.3333,59.52,95,0,4.25,clear sky
248,Carutapera,BR,-1.195,-46.02,77.16,86,54,5.64,broken clouds
249,Cassilandia,BR,-19.1133,-51.7342,70.5,96,100,4.23,overcast clouds
250,Cabo San Lucas,MX,22.8909,-109.9124,80.91,72,20,0.0,few clouds
251,Meulaboh,ID,4.1363,96.1285,77.25,89,99,6.98,light rain
252,Ladario,BR,-19.0047,-57.6017,73.9,95,100,2.68,overcast clouds
253,Makakilo City,US,21.3469,-158.0858,80.35,68,100,10.36,overcast clouds
254,Namatanai,PG,-3.6667,152.4333,82.54,75,99,6.49,light rain
255,Noumea,NC,-22.2763,166.4572,87.78,99,100,2.62,light rain
256,Fortuna,US,40.5982,-124.1573,50.34,93,100,14.97,moderate rain
257,Beloha,MG,-25.1667,45.05,72.81,91,70,2.48,broken clouds
258,Thompson,CA,55.7435,-97.8558,-20.04,76,40,8.05,scattered clouds
259,Andenes,NO,69.3143,16.1194,35.92,87,100,14.97,light rain
260,Lewistown,US,40.5992,-77.5714,33.24,86,0,3.44,light intensity drizzle
261,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,88,20,7.54,few clouds
262,Sohagpur,IN,22.7,78.2,60.96,61,13,5.57,few clouds
263,Cabinda,AO,-5.55,12.2,77.11,87,100,3.58,overcast clouds
264,Tiksi,RU,71.6872,128.8694,-10.59,96,100,11.97,overcast clouds
265,Gafanha Da Encarnacao,PT,40.6181,-8.733,52.05,90,100,11.36,overcast clouds
266,Mount Gambier,AU,-37.8333,140.7667,58.78,61,99,12.64,overcast clouds
267,Sioux Lookout,CA,50.1001,-91.917,15.87,79,100,6.91,overcast clouds
268,Clyde River,CA,70.4692,-68.5914,3.43,85,100,19.57,light snow
269,Kiunga,PG,-6.1219,141.2906,85.03,70,100,1.83,overcast clouds
270,Staryy Nadym,RU,65.6118,72.6842,21.13,89,99,13.06,overcast clouds
271,Ongandjera,NA,-17.8833,15.0667,74.73,23,33,11.92,scattered clouds
272,Jaciara,BR,-15.9653,-54.9683,72.01,94,100,3.29,heavy intensity rain
273,Bajil,YE,15.0584,43.2851,75.06,73,0,2.93,clear sky
274,Khani,GE,41.9563,42.9566,38.77,85,100,5.48,overcast clouds
275,San Rafael,AR,-34.6177,-68.3301,80.15,27,2,6.55,clear sky
276,Vestmannaeyjar,IS,63.4427,-20.2734,38.32,66,95,13.58,overcast clouds
277,Pangnirtung,CA,66.1451,-65.7125,30.87,78,100,13.87,overcast clouds
278,Prince Rupert,CA,54.3161,-130.3201,35.29,81,0,14.97,clear sky
279,Lorengau,PG,-2.0226,147.2712,83.3,72,82,4.81,broken clouds
280,Shingu,JP,33.7333,135.9833,57.7,44,73,1.14,broken clouds
281,Quballat,TN,36.5418,9.6633,54.12,47,100,3.89,overcast clouds
282,Moree,AU,-29.4667,149.85,84.83,25,0,7.0,clear sky
283,Itoman,JP,26.1247,127.6694,77.4,80,40,5.75,scattered clouds
284,Broome,US,42.2506,-75.833,32.63,68,0,5.99,clear sky
285,Sal Rei,CV,16.1833,-22.9167,71.15,64,100,7.56,overcast clouds
286,Karakol,KG,42.4907,78.3936,21.49,79,100,3.96,overcast clouds
287,Sayat,TM,38.7839,63.8803,13.87,41,100,7.34,overcast clouds
288,Marfino,RU,55.7028,37.3822,12.34,84,0,8.95,clear sky
289,Lompoc,US,34.6391,-120.4579,58.01,88,20,5.75,few clouds
290,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,86,100,16.55,overcast clouds
291,Coihueco,CL,-36.6167,-71.8333,72.34,31,0,5.75,clear sky
292,Nouadhibou,MR,20.931,-17.0347,64.38,94,0,5.75,clear sky
293,Flinders,AU,-34.5833,150.8552,89.26,62,6,5.01,clear sky
294,Ewa Beach,US,21.3156,-158.0072,81.77,69,100,10.36,overcast clouds
295,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,73,20,18.41,few clouds
296,Lagoa,PT,39.05,-27.9833,59.68,67,62,9.17,broken clouds
297,Ahipara,NZ,-35.1667,173.1667,67.69,58,1,5.03,clear sky
298,Tambo,PE,-14.8,-73.9167,34.47,63,49,2.93,scattered clouds
299,Selma,US,36.5708,-119.6121,60.58,88,48,3.44,scattered clouds
300,Tessalit,ML,20.1986,1.0114,73.81,17,100,12.33,overcast clouds
301,Inhambane,MZ,-23.865,35.3833,76.12,89,2,7.85,clear sky
302,Bubaque,GW,11.2833,-15.8333,79.29,72,100,9.62,overcast clouds
303,Port-De-Bouc,FR,43.4,4.9833,44.76,96,0,3.44,clear sky
